index,category,A,B,answer
823,left,magenta sphere,cyan cube,left
824,left,green sphere,yellow cube,left
825,left,green sphere,blue cube,left
826,left,yellow sphere,magenta cube,left
827,left,blue sphere,yellow cube,left
828,left,cyan cube,yellow cube,left
829,left,red cube,black sphere,left
830,left,cyan sphere,cyan cube,left
831,left,magenta cube,black cube,left
832,left,black sphere,yellow sphere,left
833,left,magenta cube,cyan sphere,left
834,left,blue cube,red cube,left
835,left,blue cube,black sphere,left
836,left,cyan sphere,red sphere,left
837,left,magenta cube,yellow cube,left
838,left,black cube,yellow sphere,left
839,left,cyan sphere,green cube,left
840,left,cyan cube,blue cube,left
841,left,yellow cube,red sphere,left
842,left,yellow cube,cyan cube,left
843,left,yellow sphere,blue cube,left
844,left,cyan cube,green cube,left
845,left,red sphere,cyan sphere,left
846,left,black cube,magenta sphere,left
847,left,yellow sphere,magenta sphere,left
848,left,yellow sphere,red sphere,left
849,left,magenta cube,blue cube,left
850,left,magenta cube,cyan sphere,left
851,left,green sphere,cyan sphere,left
852,left,cyan sphere,blue cube,left
853,left,green cube,blue cube,left
854,left,black cube,blue sphere,left
855,left,blue sphere,magenta sphere,left
856,left,magenta cube,green cube,left
857,left,yellow cube,cyan sphere,left
858,left,green sphere,black cube,left
859,left,magenta sphere,black sphere,left
860,left,magenta cube,black cube,left
861,left,magenta cube,black sphere,left
862,left,yellow cube,blue sphere,left
863,left,blue cube,magenta sphere,left
864,left,yellow cube,red cube,left
865,left,red cube,yellow cube,left
866,left,yellow sphere,green sphere,left
867,left,cyan sphere,cyan cube,left
868,left,cyan cube,black sphere,left
869,left,magenta cube,green cube,left
870,left,yellow cube,cyan sphere,left
871,left,magenta sphere,yellow cube,left
872,left,black sphere,cyan cube,left
873,left,red sphere,cyan sphere,left
874,left,yellow sphere,magenta sphere,left
875,left,yellow sphere,red sphere,left
876,left,yellow sphere,red sphere,left
877,left,red cube,magenta cube,left
878,left,black cube,black sphere,left
879,left,green cube,cyan cube,left
880,left,red sphere,blue cube,left
881,left,black cube,cyan sphere,left
882,left,cyan sphere,green sphere,left
883,left,yellow sphere,magenta cube,left
884,left,blue cube,magenta sphere,left
885,left,magenta cube,yellow sphere,left
886,left,blue sphere,black sphere,left
887,left,magenta sphere,green sphere,left
888,left,magenta sphere,red cube,left
889,left,cyan cube,green cube,left
890,left,magenta sphere,yellow cube,left
891,left,cyan sphere,blue cube,left
892,left,black cube,green cube,left
893,left,blue sphere,black sphere,left
894,left,red sphere,green cube,left
895,left,green sphere,cyan cube,left
896,left,magenta sphere,blue cube,left
897,left,green cube,black cube,left
898,left,green cube,cyan sphere,left
899,left,yellow cube,green sphere,left
900,left,yellow cube,magenta cube,left
901,left,cyan cube,blue cube,left
902,left,blue cube,black cube,left
903,left,yellow sphere,red sphere,left
904,left,green cube,black sphere,left
905,left,green cube,blue cube,left
906,left,magenta cube,blue sphere,left
907,left,black cube,green sphere,left
908,left,magenta sphere,green cube,left
909,left,cyan cube,magenta cube,left
910,left,magenta sphere,cyan cube,left
911,left,blue cube,yellow cube,left
912,left,blue cube,yellow sphere,left
913,left,black sphere,cyan cube,left
914,left,red sphere,red cube,left
915,left,green cube,green sphere,left
916,left,red cube,cyan cube,left
917,left,black cube,blue cube,left
918,left,yellow sphere,red sphere,left
919,left,black sphere,magenta sphere,left
920,left,green cube,blue sphere,left
921,left,green cube,black cube,left
922,left,cyan sphere,cyan cube,left
923,left,yellow cube,cyan cube,left
924,left,black sphere,red sphere,left
925,left,yellow cube,black sphere,left
926,left,cyan cube,red cube,left
927,left,blue sphere,red cube,left
928,left,magenta sphere,blue cube,left
929,left,yellow cube,red sphere,left
930,left,cyan cube,yellow sphere,left
931,left,yellow cube,red cube,left
932,left,black sphere,yellow cube,left
933,left,red cube,green sphere,left
934,left,cyan cube,red cube,left
935,left,magenta sphere,green cube,left
936,left,blue cube,magenta sphere,left
937,left,yellow sphere,magenta sphere,left
938,left,cyan sphere,cyan cube,left
939,left,black sphere,red sphere,left
940,left,green sphere,magenta sphere,left
941,left,green sphere,cyan cube,left
942,left,black sphere,yellow cube,left
943,left,blue sphere,cyan sphere,left
944,left,black sphere,green sphere,left
945,left,yellow cube,black sphere,left
946,left,blue cube,green sphere,left
947,left,black sphere,cyan cube,left
948,left,red cube,green sphere,left
949,left,red sphere,magenta sphere,left
950,left,black cube,blue cube,left
951,left,cyan sphere,red cube,left
952,left,cyan sphere,cyan cube,left
953,left,magenta sphere,yellow sphere,left
954,left,magenta cube,yellow cube,left
955,left,blue cube,blue sphere,left
956,left,yellow cube,red cube,left
957,left,yellow sphere,magenta cube,left
958,left,black cube,black sphere,left
959,left,red sphere,magenta cube,left
960,left,red sphere,blue cube,left
961,left,blue sphere,black cube,left
962,left,black sphere,blue cube,left
963,left,red cube,black cube,left
964,left,red sphere,black sphere,left
965,left,black sphere,blue sphere,left
966,left,yellow cube,cyan cube,left
967,left,blue sphere,yellow cube,left
968,left,cyan sphere,blue cube,left
969,left,red cube,black sphere,left
970,left,green cube,magenta cube,left
971,left,green sphere,red cube,left
972,left,cyan sphere,magenta cube,left
973,left,magenta cube,magenta sphere,left
974,left,blue cube,cyan sphere,left
975,left,blue sphere,black cube,left
976,left,black sphere,magenta sphere,left
977,left,cyan sphere,magenta sphere,left
978,left,blue sphere,magenta sphere,left
979,left,blue cube,black cube,left
980,left,black cube,yellow cube,left
981,left,red cube,yellow cube,left
982,left,magenta cube,magenta sphere,left
983,left,red sphere,magenta sphere,left
984,left,black cube,blue sphere,left
985,left,black cube,red cube,left
986,left,blue sphere,black sphere,left
987,left,green sphere,yellow cube,left
988,left,magenta sphere,yellow sphere,left
989,left,green cube,red sphere,left
990,left,green cube,yellow sphere,left
991,left,blue cube,green sphere,left
992,left,magenta sphere,yellow sphere,left
993,left,red sphere,blue cube,left
994,left,magenta sphere,black cube,left
995,left,black cube,blue cube,left
996,left,yellow cube,cyan cube,left
997,left,black cube,black sphere,left
998,left,magenta cube,cyan cube,left
999,left,magenta sphere,cyan sphere,left
1000,right,red cube,yellow sphere,right
1001,right,blue sphere,green sphere,right
1002,right,green cube,green sphere,right
1003,right,yellow cube,blue cube,right
1004,right,red sphere,green sphere,right
1005,right,yellow sphere,cyan cube,right
1006,right,black sphere,red cube,right
1007,right,red sphere,blue sphere,right
1008,right,cyan cube,red cube,right
1009,right,blue sphere,black sphere,right
1010,right,cyan cube,black cube,right
1011,right,green cube,yellow cube,right
1012,right,green sphere,cyan cube,right
1013,right,red cube,magenta cube,right
1014,right,red cube,black cube,right
1015,right,blue sphere,blue cube,right
1016,right,blue sphere,black sphere,right
1017,right,magenta sphere,red cube,right
1018,right,red cube,blue sphere,right
1019,right,blue cube,red cube,right
1020,right,blue sphere,red cube,right
1021,right,black cube,yellow cube,right
1022,right,magenta sphere,green cube,right
1023,right,magenta cube,yellow cube,right
1024,right,yellow sphere,blue sphere,right
1025,right,blue sphere,red cube,right
1026,right,magenta sphere,black cube,right
1027,right,red sphere,green sphere,right
1028,right,green cube,green sphere,right
1029,right,black sphere,cyan cube,right
1030,right,yellow sphere,red cube,right
1031,right,red cube,black cube,right
1032,right,green cube,red sphere,right
1033,right,red cube,black sphere,right
1034,right,blue sphere,red cube,right
1035,right,blue cube,magenta cube,right
1036,right,magenta sphere,red sphere,right
1037,right,cyan cube,magenta sphere,right
1038,right,magenta sphere,green sphere,right
1039,right,yellow cube,black sphere,right
1040,right,cyan cube,red sphere,right
1041,right,red cube,cyan cube,right
1042,right,red sphere,yellow cube,right
1043,right,green sphere,blue cube,right
1044,right,blue cube,yellow sphere,right
1045,right,yellow cube,black cube,right
1046,right,black sphere,cyan sphere,right
1047,right,red cube,yellow sphere,right
1048,right,red cube,green sphere,right
1049,right,green cube,red sphere,right
1050,right,green sphere,green cube,right
1051,right,yellow sphere,cyan sphere,right
1052,right,cyan cube,yellow cube,right
1053,right,red sphere,yellow sphere,right
1054,right,blue sphere,cyan cube,right
1055,right,black cube,yellow sphere,right
1056,right,cyan cube,magenta cube,right
1057,right,yellow sphere,green cube,right
1058,right,cyan cube,green cube,right
1059,right,cyan cube,red cube,right
1060,right,blue sphere,cyan sphere,right
1061,right,blue cube,black cube,right
1062,right,blue cube,green cube,right
1063,right,red cube,blue sphere,right
1064,right,magenta sphere,cyan cube,right
1065,right,black cube,blue sphere,right
1066,right,yellow sphere,red cube,right
1067,right,magenta sphere,blue sphere,right
1068,right,magenta cube,blue sphere,right
1069,right,cyan sphere,magenta sphere,right
1070,right,blue cube,yellow cube,right
1071,right,yellow cube,red cube,right
1072,right,yellow cube,blue sphere,right
1073,right,black sphere,red cube,right
1074,right,blue sphere,blue cube,right
1075,right,red cube,blue cube,right
1076,right,black cube,cyan cube,right
1077,right,yellow cube,green sphere,right
1078,right,cyan sphere,black cube,right
1079,right,red sphere,blue sphere,right
1080,right,black sphere,magenta sphere,right
1081,right,blue cube,blue sphere,right
1082,right,blue cube,green sphere,right
1083,right,cyan sphere,magenta sphere,right
1084,right,yellow sphere,green sphere,right
1085,right,magenta cube,black sphere,right
1086,right,yellow sphere,cyan sphere,right
1087,right,magenta sphere,black sphere,right
1088,right,yellow cube,black cube,right
1089,right,yellow cube,green cube,right
1090,right,green sphere,blue cube,right
1091,right,cyan sphere,blue cube,right
1092,right,green sphere,yellow cube,right
1093,right,cyan cube,black cube,right
1094,right,magenta cube,cyan cube,right
1095,right,green sphere,yellow sphere,right
1096,right,green sphere,black cube,right
1097,right,black cube,blue sphere,right
1098,right,green cube,yellow cube,right
1099,right,blue cube,cyan cube,right
1100,right,blue cube,magenta sphere,right
1101,right,red sphere,blue sphere,right
1102,right,green sphere,red cube,right
1103,right,cyan sphere,blue cube,right
1104,right,cyan sphere,red cube,right
1105,right,magenta cube,red cube,right
1106,right,magenta cube,yellow cube,right
1107,right,red cube,black cube,right
1108,right,green cube,blue sphere,right
1109,right,yellow cube,magenta sphere,right
1110,right,green cube,yellow cube,right
1111,right,green sphere,red cube,right
1112,right,blue cube,green cube,right
1113,right,yellow cube,magenta cube,right
1114,right,black cube,blue cube,right
1115,right,cyan sphere,red cube,right
1116,right,cyan sphere,yellow sphere,right
1117,right,green sphere,red cube,right
1118,right,green cube,black sphere,right
1119,right,black cube,cyan cube,right
1120,right,magenta cube,green cube,right
1121,right,green sphere,cyan sphere,right
1122,right,green sphere,cyan cube,right
1123,right,cyan sphere,blue sphere,right
1124,right,cyan cube,black cube,right
1125,right,cyan sphere,cyan cube,right
1126,right,magenta sphere,black cube,right
1127,right,cyan cube,green cube,right
1128,right,blue sphere,red sphere,right
1129,right,yellow cube,green sphere,right
1130,right,cyan sphere,blue sphere,right
1131,right,red sphere,yellow cube,right
1132,right,green sphere,magenta sphere,right
1133,right,magenta cube,cyan cube,right
1134,right,yellow cube,black cube,right
1135,right,yellow sphere,green sphere,right
1136,right,yellow cube,green cube,right
1137,right,green cube,red cube,right
1138,right,black sphere,magenta cube,right
1139,right,green sphere,cyan cube,right
1140,right,blue sphere,cyan cube,right
1141,right,cyan sphere,yellow sphere,right
1142,right,blue cube,magenta cube,right
1143,right,blue sphere,black sphere,right
1144,right,blue cube,yellow sphere,right
1145,right,cyan sphere,magenta sphere,right
1146,right,blue sphere,yellow cube,right
1147,right,yellow sphere,black sphere,right
1148,right,magenta sphere,blue sphere,right
1149,right,yellow cube,magenta sphere,right
1150,right,blue sphere,magenta sphere,right
1151,right,black cube,yellow sphere,right
1152,right,blue sphere,black sphere,right
1153,right,red sphere,blue sphere,right
1154,right,green sphere,magenta sphere,right
1155,right,yellow sphere,red cube,right
1156,right,magenta sphere,cyan cube,right
1157,right,yellow cube,green sphere,right
1158,right,black cube,cyan sphere,right
1159,right,red cube,magenta sphere,right
1160,right,green sphere,cyan sphere,right
1161,right,magenta sphere,black sphere,right
1162,right,green cube,blue sphere,right
1163,right,green sphere,yellow cube,right
1164,right,blue cube,cyan cube,right
1165,right,green sphere,yellow cube,right
1166,right,cyan sphere,blue sphere,right
1167,right,green cube,magenta sphere,right
1168,right,magenta sphere,red sphere,right
1169,right,yellow cube,cyan sphere,right
1170,right,magenta sphere,blue sphere,right
1171,right,red cube,blue sphere,right
1172,right,green sphere,cyan sphere,right
1173,right,yellow cube,blue cube,right
1174,right,yellow sphere,magenta sphere,right
1175,right,blue sphere,magenta cube,right
1176,right,yellow sphere,yellow cube,right
1177,right,yellow sphere,cyan sphere,right
1178,right,cyan cube,yellow cube,right
1179,right,green cube,red sphere,right
1180,right,green cube,red cube,right
1181,right,cyan sphere,blue cube,right
1182,right,red sphere,green sphere,right
1183,right,blue sphere,magenta sphere,right
1184,right,black cube,cyan sphere,right
1185,right,magenta cube,green cube,right
1186,right,yellow sphere,green cube,right
1187,right,red cube,cyan sphere,right
1188,right,green sphere,blue sphere,right
1189,right,blue cube,blue sphere,right
1190,right,black sphere,magenta sphere,right
1191,right,black sphere,green cube,right
1192,right,yellow sphere,cyan sphere,right
1193,right,black sphere,magenta sphere,right
1194,right,cyan sphere,black sphere,right
1195,right,magenta cube,blue cube,right
1196,right,yellow cube,magenta cube,right
1197,right,red sphere,cyan cube,right
1198,right,cyan sphere,cyan cube,right
1199,right,magenta sphere,cyan sphere,right
